Galaxy Name,Hubble Type (1),Distance,Mean error on D,Distance Method (2),Inclination,Mean error on Inc,Total Luminosity at [3.6],Mean error on L[3.6],Effective Radius at [3.6],Effective Surface Brightness at [3.6],Disk Scale Length at [3.6],Disk Central Surface Brightness at [3.6],Total HI Mass,HI radius at 1 Msun/pc2,Asymptotically Flat Rotation Velocity,Mean error on Vflat,Quality Flag,References for HI and Ha data,References for HI and Ha data 2,
U05721,7,6.18,1.85,1,61,5,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,dB02,Sw02,
U05750,8,58.7,11.7,1,64,10,3.336,0.264,8.8,6.87,3.46,124.98,1.099,16.79,0,0,1,dB01,VdH93,
U05764,10,7.47,2.24,1,60,10,0.085,0.006,1.2,9.31,1.17,33.79,0.163,3.51,0,0,2,vZ97,,
U05829,10,8.64,2.59,1,34,10,0.564,0.019,2.91,10.59,1.99,63.22,1.023,7.87,0,0,2,Sw09,Sw02,
U05918,10,7.66,2.3,1,46,5,0.233,0.011,2.63,5.36,1.66,24.94,0.297,5.9,0,0,2,Sw09,Sw02,
U05986,9,8.63,2.59,1,90,3,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113,4.1,2,Sw09,Sw02,
U05999,10,47.7,9.5,1,22,10,3.384,0.231,4.83,22.95,3.22,51.62,2.022,15.26,0,0,2,dB97,VH93,
U06399,9,18,2.5,4,75,2,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85,3.8,1,VS01,SV98,
U06446,7,12,3.6,1,51,3,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,VS01,SV98,
U06614,1,88.7,8.87,1,36,10,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16,1,dB01,VH93,
U06628,9,15.1,4.53,1,20,10,3.739,0.076,4.14,34.74,2.82,103,1.5,10.47,41.8,6.4,2,Sw09,Sw02,
U06667,6,18,2.5,4,89,1,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,VS01,SV98,
U06786,0,29.3,7.32,1,64,3,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,No07,No05,
U06787,2,21.3,5.32,1,66,3,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,No07,No05,
U06818,9,18,2.5,4,75,3,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4,2,VS01,SV98,
U06917,9,18,2.5,4,56,2,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,VS01,SV98,
U06923,10,18,2.5,4,65,2,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,VS01,SV98,
U06930,7,18,2.5,4,32,5,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,VS01,SV98,
U06973,2,18,2.5,4,71,3,53.87,0.347,1.61,3317.65,1.07,12730.05,1.753,11.57,174.2,6.2,3,VS01,SV98,
U06983,6,18,2.5,4,49,1,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109,5.8,1,VS01,SV98,
U07089,8,18,2.5,4,80,3,3.585,0.089,3.9,37.4,2.26,520.99,1.214,9.29,0,0,2,VS01,SV98,
U07125,9,19.8,5.9,1,90,3,2.712,0.08,3.92,28.11,3.38,103,4.629,23.04,65.2,2.1,1,Sw09,Sw02,
U07151,6,6.87,0.34,2,90,3,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,Sw09,Sw02,
U07232,10,2.83,0.17,2,59,5,0.113,0.002,0.46,83.34,0.29,227.42,0.046,1.54,0,0,2,Sw09,Sw02,
U07261,8,13.1,3.93,1,30,10,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,Sw09,Sw02,
U07323,8,8,2.4,1,47,3,4.109,0.042,3.26,61.49,2.26,283.68,0.722,7.14,0,0,1,Sw09,Sw02,
U07399,8,8.43,2.53,1,55,3,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103,3.3,1,Sw09,Sw02,
U07524,9,4.74,0.24,2,46,3,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,Sw09,Sw02,
U07559,10,4.97,0.25,2,61,3,0.109,0.004,0.98,17.9,0.58,55.06,0.169,3.76,0,0,2,Sw09,Sw02,
U07577,10,2.59,0.13,2,63,3,0.045,0.002,0.77,11.94,0.9,54.55,0.044,2.07,0,0,2,Sw09,Sw02,
U07603,7,4.7,1.41,1,78,3,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,Sw09,Sw02,
U07608,10,8.21,2.46,1,25,10,0.264,0.012,1.6,16.48,1.5,46.65,0.535,6.73,0,0,1,Sw09,Sw02,
U07690,10,8.11,2.43,1,41,5,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,Sw09,Sw02,
U07866,10,4.57,0.23,2,44,5,0.124,0.004,0.95,21.92,0.61,97.46,0.118,3.3,0,0,2,Sw09,Sw02,
U08286,6,6.5,0.21,2,90,3,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,Sw09,Sw02,
U08490,9,4.65,0.53,2,50,3,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,Sw09,Sw02,
U08550,7,6.7,2,1,90,3,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,Sw09,Sw02,
U08699,2,39.3,9.82,1,73,9,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,No07,No05,
U08837,10,7.21,0.36,2,80,5,0.501,0.015,2.25,15.73,1.72,77.42,0.32,4.75,0,0,2,Sw09,Sw02,
U09037,6,83.6,8.4,1,65,5,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,,
U09133,2,57.1,11.4,1,53,6,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,No07,No05,
U09992,10,10.7,3.21,1,30,10,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,Sw09,Sw02,
U10310,9,15.2,4.6,1,34,6,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,Sw09,Sw02,
U11455,6,78.6,11.8,1,90,1,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,,
U11557,8,24.2,6.05,1,30,10,12.101,0.212,4.18,106.86,2.75,337.93,2.605,16.66,0,0,2,Sw02,dB01,
U11820,9,18.1,5.43,1,45,10,0.97,0.047,2.74,20.18,2.08,34.11,1.977,12.99,0,0,1,KN08,vZ97,
U11914,2,16.9,5.1,1,31,5,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,No07,No05,
U12506,6,100.6,10.1,1,86,4,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234,16.8,2,Ha14,,
U12632,9,9.77,2.93,1,46,3,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,Sw09,Sw02,
U12732,9,13.2,4,1,39,6,1.667,0.048,3.12,26.84,1.98,120.46,3.66,17.41,0,0,1,Sw09,Sw02,
UA281,11,5.68,0.28,2,67,3,0.194,0.007,1.57,12.5,1.72,12.05,0.062,1.83,0,0,3,Le14,,
UA442,9,4.35,0.22,2,64,7,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,,
UA444,10,0.98,0.05,2,78,4,0.012,0,0.41,11.94,0.83,22.74,0.067,2.08,37,4.8,2,Ke07,,
